ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
CAF,35.96263122,35.93759092,35.91255061,35.88750717,35.86246687,35.83742656,35.81238626,35.78734595,35.76230251,35.73726221,35.7122219,35.6871816,35.66214129,35.63709785,35.61205754,35.58701724,35.56197693
CAN,38.24727745,38.24230825,38.23733561,38.23236641,38.22739377,38.22242456,38.21639691,38.2103727,38.20434505,38.19832084,38.19229318,38.18716934,38.18204549,38.17691821,38.17179436,38.16667052,38.16154667
CHE,30.20949371,30.32664425,30.44380259,30.56096807,30.67813827,30.79609254,30.88797203,30.97985426,31.07095907,31.16206079,31.2531625,31.34932732,31.44548904,31.54165385,31.63781558,31.73398039,31.8301452
CHL,21.29565282,21.35160147,21.40755143,21.46350007,21.51945003,21.57539867,21.62623684,21.677075,21.72791448,21.77875265,21.82959081,22.2341474,22.63870136,23.04325795,23.44781191,23.8523685,24.25692509
CHN,18.85346743,19.19525698,19.53703617,19.87881579,20.22059245,20.56237213,20.72356302,20.88475227,21.0459418,21.20712991,21.36831943,21.53258961,21.69685979,21.86112996,22.02539848,22.18966865,22.35394181
CIV,32.47798742,32.52641632,32.57484215,32.62327105,32.67169688,32.72012579,32.7188667,32.71761068,32.71635159,32.71509557,32.71383648,32.71257739,32.71132137,32.71006228,32.70880626,32.70754717,32.70628808
CMR,46.78555563,46.32015401,45.85475239,45.38935076,44.92394914,44.45854752,43.9931459,43.52774428,43.06234266,42.59694104,42.13153942,41.6661378,41.20073618,40.73533456,40.26993294,39.80453132,39.3391297
COD,69.36282835,69.22546647,69.08811148,68.9507496,68.81339461,68.67603273,68.53867085,68.40131586,68.26395398,68.12659899,67.98923711,67.85187523,67.71452025,67.57715837,67.43980338,67.3024415,67.16507962
COG,66.04978038,66,65.95021962,65.90043924,65.85065886,65.80087848,65.76573939,65.73060029,65.6954612,65.66032211,65.62518302,65.5800867,65.53499039,65.4898998,65.44480349,65.39970717,65.35461086
COL,55.69936134,55.4114642,55.12357763,54.83568401,54.54779743,54.25990029,53.97760112,53.69530546,53.41301332,53.13071767,52.84841849,52.82433669,52.80026194,52.77618015,52.7521054,52.72802008,52.70393829
COM,24.1805473,23.85814082,23.53573229,23.21332582,22.89091729,22.56851081,22.24610434,21.92369581,21.60128933,21.2788808,20.95647433,20.74153531,20.52659834,20.31165932,20.09672235,19.88178334,19.66684432
CPV,20.36972614,20.44416858,20.51861103,20.59305158,20.66749402,20.74193458,20.81637702,20.89081946,20.96526002,21.03970246,21.11414301,21.35235808,21.59305128,21.83126634,22.06947951,22.30769269,22.54590586
