ISO_alpha3_code,2002,2007,2012,2014
SAU,110.0649186,95.29634324,82.31811375,77.62721046
SDN,NA,NA,106.0658531,101.6511346
SEN,2508.824889,2207.565962,1925.087101,1820.140361
SGP,143.6798812,130.7588656,112.9425158,109.6947488
SLB,102656.672,90829.2897,80386.43034,76139.66774
SLE,32220.60806,26712.82197,23835.839,22801.29922
SLV,2621.543688,2559.856923,2505.641702,2482.872469
SMR,NA,NA,NA,NA
SOM,631.4897411,541.5103319,471.8646755,446.9747853
SRB,NA,1138.916213,1167.788593,1179.007138
SSD,NA,NA,2570.783813,2463.314847
STP,14784.97358,13108.83945,11570.8796,11137.96257
SUR,205294.0993,193669.17,182911.6204,178935.1731
SVK,2343.352467,2344.350914,2330.063047,2325.302857
SVN,9360.601244,9251.175102,9075.623226,9054.404019
SWE,19159.75403,18692.42242,17963.36608,17635.93854
SWZ,2590.625273,2532.004926,2446.05703,2410.912667
SXM,NA,NA,NA,NA
SYC,NA,NA,NA,NA
SYR,417.4511924,358.784026,348.880308,381.0710083
TCA,NA,NA,NA,NA
TCD,1663.112595,1386.57485,1173.272845,1097.810607
TGO,2212.801886,1942.449774,1697.715923,1611.096222
THA,3504.029954,3392.157576,3309.454306,3280.306341
TJK,9874.173528,8985.267899,8058.581545,7689.480691
TKM,304.7719037,288.492674,266.7096946,257.0281183
TLS,8903.276709,7926.537449,7250.700357,6995.472316
TON,NA,NA,NA,NA
TTO,3006.546285,2934.767905,2855.407093,2818.675487
TUN,424.9714651,407.0947641,386.7428069,379.1850116
TUR,3484.51487,3262.345087,3040.734483,2939.199727
TUV,NA,NA,NA,NA
TZA,2377.260619,2064.824984,1785.240612,1681.351066
UGA,1549.632525,1322.646441,1128.49939,1056.562734
UKR,1143.094949,1184.707894,1208.509786,1217.083631
URY,27720.65279,27673.15305,27286.3893,27114.18601
USA,9797.472783,9354.940439,8979.355417,8853.25503
UZB,646.5692064,608.158404,548.7917513,531.2490856
VCT,925.0950535,921.5061096,922.2114631,918.6026217
VEN,32071.19183,29543.87559,27415.96929,26793.02412
VGB,NA,NA,NA,NA
VIR,NA,NA,NA,NA
VNM,4407.955037,4207.465709,4002.116333,3918.678374
VUT,51567.65677,45563.89881,40080.32096,37894.86449
WSM,NA,NA,NA,NA
YEM,113.8600728,98.6725488,85.80822646,81.32132437
ZAF,970.7283581,912.0565921,847.938747,821.3252556
ZMB,7309.716326,6414.482077,5544.371181,5207.875737
ZWE,1025.573246,1000.332737,934.7981351,902.3542983
