ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
HTI,7422,7822,8122,8322,9692,11042,12292,13672,14972,16235,14070,17130,17230,17310,17520,17730,17730
HUN,19987,19694,18324,18406,19986,21270,22229,22888,23081,21191,20461,22632,21850,21390,22789,23263,21295.97
IDN,5152262,5412689,5541952,5927292,6208250,6827210,7277661,8179552,8857709,9828603,11700000,13700000,15500000,19400000,20900000,22400000,23200000
IMN,3552,3112,3127,2984,2627,2764,2579,3812,2770,3555,4814,6844,6172,5745,3755,7781,7040
IND,5668958,5937726,5973298,6074846,6230871,6698488,7060154,7005055,7984490,7893598,8505837,8013716,9109609,9222391,9893980,10100000,10800000
IRL,363639,453468,381288,363734,368929,357231,294399,301472,279686.5,346095.7,394932.3,287720.3,341528,310148.2,337624.2,304023,300089.4
IRN,424541,413692,401655,441837,474320,522328,575347,561316,562568,599924,663684,735076,838651,884487,947354,983897,1093536
IRQ,22512,35300,28000,19200,26883,43949,73942,68842,53826,46977,39668,47831,76117,70913,85625,52099,56835
ISL,2003669,2008312,2153093,2014872,1764040,1694009,1356284,1425880,1311691,1169597,1086705,1159508,1384106,1390896,1103650,1344330,1100305
ISR,25916,26342,27299,24831,25643,26560,25937,24869,22725,21889,22507,23392,23566.4,24234.6,22208,21718,20672
ITA,520681.8,530738.7,456187.1,489584.8,407156.8,479685.1,490645.7,468888.5,386622.3,416951.5,388453.2,381980.4,339471.4,318794.7,332576.3,347531.5,355238.5
JAM,10052,18831,21042,15451,17966,18766,25722,22014,19005,21338,19342,19150,16034.05,19186.9,15916,17692,17420
JOR,1119,1060,1041,1131,981,1071,1057,1015,1040,1009,1027,1075,1248,1480,1758,1758,1758
JPN,6483310,6147400,5886827,6101859,5712155,5695057,5675395,5714497,5628025,5474059,5339478,4786412,4836243,4763637,4756123,4655760,4343257
KAZ,37433,23269,25446,26015,33494.2,37744,30301,34371,51473,38473,47051,35754,37677,35503,37547,41191.4,43213
KEN,216310.9,165769.3,145962.3,121544,128332.1,148967,160278,136522,140561,139052,152801,203863,180868,187220,192927,184445,186751
KGZ,110,324,245,75,27,46,57,121,100,143,379,454.5,387,420,804.93,1099.4,2019.7
KHM,298798,445700,424432,390657,343332,428000,523510,493760,471000,515000,550094,632839,640695,729468,745310,751193,802450
KIR,46634,42562,40956,37625,34974,35574,34510,35287,28393.14,41224.16,47872,67220,86070,83792,120551,149638,176474
KNA,971,1040,950,874,1112,1517,1180,1276,1343,2065,21755,31072,21897,17711,66140,100430,65735
KOR,2506078,2677017,2498788,2501632,2542602,2719486,3051622,3287437,3365700,3203623,3112233,3256454,3186497,3136797,3312702,3334113,3255171
KWT,7354,6041,5555,4426,5436,5222,6203,4721,4270.215,4980,6683,4357,4339,4936,4494,4549,5689.16
LAO,71316,81000,93156,94700,94700,86560,86925,91660,93500,105800.5,113000,129600,136001,146946,168597,158600,180750
LBN,4066,3970,4760,4693,4661,4611,4624,4518,4575,4580,4580,4580,4480,4280,4123,4663,5306
LBR,11540,10510,11056,10478,13738,12160,8907,14501,7906,10716,11720,12720,13730,14730,14740,14740,14740
LBY,50009,47336,44053,41994,40190,37783,35040,32166,47760,52227.3,50116,30014,35014,36014,25013,26012,30012
LCA,2028,2189,1913,1690,1712,1605,1657.243,1742.39,1902.04,2078.36,1984.9,1899.8,2093.9,2134.3,2132.2,2109.1,2129.44
LIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKA,301169.6,271160,275253,323221.2,336857.4,220967,284255,313136,331362,344490.7,398245.1,440116.2,484638.8,525334.3,564702.3,538092.8,552611.2
LSO,40,32,48,46,47,46,47,179,141,152.6,345.4,345.37,450.37,550.43,952.53,1053,1102
LTU,80984,152832,151896,159561,164685,141798,156772,190890,185768,176113.6,153042,141836.6,70551.96,95081.88,153902.8,89594.17,111337.7
LUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
