ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CHN,2.522631924,2.54492948,1.889533273,2.092796806,4.859027589,5.205681936,5.709549616,6.478898047,9.90851888,4.069690402,6.377627915,8.006548671,4.161027487,3.092712802,2.446252776,1.357421916,1.256267682,1.475589615,1.584155062
CIV,4.310816992,3.367031567,3.442265168,3.563536526,3.639134671,5.590834068,8.409948774,7.335161358,8.393107521,5.863417794,6.859126363,9.236677855,8.771290526,6.906030718,6.06814746,4.035882825,3.924807862,2.354698949,2.641433891
CMR,11.00049267,6.301941189,5.933397837,5.878917379,6.467200894,8.400908913,10.5288237,10.84068665,12.05767996,6.388545632,7.893253811,8.967086905,9.320734401,8.392195921,8.043550044,6.450609482,5.748249781,6.580684398,6.20460584
COD,7.587387834,18.34153401,18.60343645,29.44441105,23.80300219,23.88021683,24.97653135,29.12704705,32.25778297,32.31674095,32.45840154,37.29342046,36.84782411,37.76217831,36.48195427,31.19600172,29.4793444,34.78933007,25.51925095
COG,56.93941451,42.19512318,39.72553506,34.75341539,42.72360377,55.1210094,59.6043491,51.30974833,55.48910346,37.73348501,50.49852876,59.20581299,56.71725725,45.38331604,40.02426982,24.81902421,20.21825752,39.9998409,54.91635612
COL,5.642602856,3.802498603,3.859556123,4.626446328,6.048667417,6.418579358,7.366366151,6.65979295,8.670727384,4.770457552,6.623229584,9.601171014,8.23279452,7.347136693,6.576221746,4.108810717,3.379801607,4.193820727,5.513777084
COM,1.402193973,1.268008489,1.375100149,1.660173064,1.235806634,1.281634052,1.265897877,1.582130465,1.724054059,1.756659269,1.593775545,1.633795833,1.914447431,1.815554149,1.980939258,2.514629204,2.500742202,2.339822437,1.390080811
CPV,0.414263908,0.485933294,0.531125777,0.709048657,0.572824548,0.537293223,0.450039391,0.504818169,0.482929056,0.535788695,0.469733673,0.47629611,0.589785855,0.572401132,0.642686554,0.800998865,0.805572996,0.716497885,0.379099981
CRI,1.018117096,1.054867937,0.954079182,0.985496437,0.939485814,0.972048804,1.329279528,1.446884453,1.316452237,1.193602315,1.646854577,1.255570382,1.203176518,1.25322534,1.375890618,1.09753737,1.20887239,1.032186912,0.824939015
CUB,1.746708423,1.047140779,1.227411121,1.978062819,2.940460178,3.245983794,4.202000367,6.994721012,3.676144612,1.953467234,3.07306201,3.65369391,2.82338524,2.271407983,2.094128535,0.879507717,0.501266617,0.558517296,0.678805138
