ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
CAF,8.265112845,8.265112845,8.265112845,8.338951491,8.371055251,8.371055251,8.363029311,8.363029311,8.363029311,8.39513307,8.154354875,8.154354875,8.154354875,8.154354875,8.154354875,8.154354875,8.154354875
CAN,7.43530276,7.423096252,7.42474578,7.426725214,7.428484711,7.430464144,7.252864955,7.179009913,7.105155301,7.031410228,6.957555615,6.883700573,6.885328194,6.886955814,6.888583005,6.890210625,6.891838245
CHE,39.62149678,39.53647133,39.45903596,39.37653179,39.3016182,39.22263224,39.14264919,39.06012658,38.98673797,38.90828935,38.83490074,38.75898213,38.68559352,38.58892517,38.51351318,38.43835449,38.36344603
CHL,20.32192208,20.37571935,20.93386612,20.74557565,21.43149095,21.36424435,21.24992514,21.15846976,21.22840622,21.22571636,21.17326401,21.23513088,21.1894032,21.22437143,21.19774204,21.22975116,21.17164983
CHN,55.60191389,55.37954069,55.2323422,54.97670616,55.00866113,55.11518135,54.76368035,54.81001871,54.80799489,54.80841731,54.80809776,54.80841731,54.80841731,54.80841731,54.80841731,56.22295728,56.2123131
CIV,61.63522013,61.63522013,61.63522013,61.63522013,62.89308176,63.52201258,63.83647799,64.77987421,64.77987421,64.77987421,64.77987421,64.77987421,64.77987421,64.77987421,64.77987421,64.77987421,64.77987421
CMR,19.37763111,19.37763111,19.37763111,19.37763111,19.4834042,19.48975059,19.48975059,19.48975059,19.59552368,19.70129678,20.51998054,20.62575363,20.62575363,20.62575363,20.62575363,20.62575363,20.62575363
COD,11.29220794,11.27015284,11.27015284,11.27015284,11.27015284,11.27015284,11.28603251,11.31426303,11.33631812,11.35616771,11.36498974,11.48629276,11.55686906,11.55686906,11.55686906,11.55686906,11.55686906
COG,30.86383602,30.86383602,30.86383602,30.86383602,30.87847731,30.88433382,30.89311859,30.89311859,30.89311859,30.93118594,30.96925329,31.02781845,31.04538799,31.11859444,31.11859444,31.11859444,31.11859444
COL,40.431726,37.62505633,37.50067598,37.90085624,38.20730059,38.35691753,38.01171699,38.2478594,38.40829202,38.34159531,38.30824696,37.60342497,38.41153814,40.39261069,40.54723764,40.25741466,40.25741466
COM,71.46695091,72.5416419,72.5416419,72.5416419,72.5416419,71.46695091,71.46695091,71.46695091,71.46695091,71.46695091,71.46695091,71.46695091,71.46695091,71.46695091,71.46695091,71.46695091,71.46695091
