ISO_alpha3_code,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ASM,NA,NA,NA,0.503726006,0.654332519,0.548463166,0.972128868,0.967198193,0.963812232,0.988284528,1.009051681,1.025671721,1.004767299,NA,NA,NA,NA,NA,NA
ATG,0.390961945,0.336637646,0.317483664,0.57303077,0.533180118,0.631312072,0.543636024,0.573908567,0.589428127,0.495848954,0.511174679,0.640056968,0.618955672,0.558710754,0.594992816,0.633662701,0.607838929,0.599627852,0.760443568
AUS,1.471305132,1.407233238,1.442127824,1.501541972,1.507055759,1.382794738,1.369199991,1.368076086,1.383791804,1.419765711,1.453721046,1.499190331,1.436413765,1.361716032,1.355591297,1.353702068,1.385700464,1.428863406,1.315125465
AUT,1.317559481,1.307496905,1.343882084,1.475651145,1.378656507,1.372684956,1.369262457,1.35846436,1.392845631,1.430291057,1.402443647,1.448773026,1.456567407,1.391321301,1.38353312,1.33748126,1.342784643,1.380758286,1.326598525
AZE,-0.906229019,-0.981288195,-1.044704556,-1.056702495,-1.124163508,-1.279161215,-1.233396649,-1.325132132,-1.259756207,-1.304588437,-1.301847577,-1.29948163,-1.402769446,-1.479177833,-1.552387357,-1.561035752,-1.562905073,-1.496132135,-1.49178791
BDI,-1.489835978,-1.164891243,-1.177996397,-1.281000972,-0.634234488,-0.723143578,-0.714045227,-0.685290635,-0.689439297,-0.942693591,-0.927631855,-0.894518375,-0.953051269,-1.041284084,-1.272203445,-1.555503607,-1.574970245,-1.658290505,-1.708203673
BEL,1.366504431,1.377452493,1.478290319,1.440266132,1.420762181,1.342394352,1.36077106,1.324988484,1.346693039,1.360687137,1.325163245,1.349421859,1.373045683,1.366339207,1.387440085,1.377025843,1.384981036,1.397338629,1.369119644
BEN,0.412923425,0.050879639,0.187651932,0.053056307,-0.029964088,0.36277771,0.36818099,0.344647497,0.342523307,0.314488977,0.166390568,0.12448547,0.155496404,0.266302288,0.296121269,0.40985474,0.381654203,0.267580748,0.092065193
BFA,-0.230154827,-0.387816608,-0.30972442,-0.433708847,-0.44652009,-0.34183386,-0.307009161,-0.283480763,-0.289742321,-0.252950281,-0.280185461,-0.304970831,-0.255426049,-0.351851881,-0.114341825,0.014498615,0.065185256,-0.043129988,-0.180090681
BGD,-0.227924496,-0.432220519,-0.551806808,-0.672145784,-0.569969237,-0.451236516,-0.573499918,-0.442116976,-0.289077908,-0.268095285,-0.31506893,-0.401940703,-0.405386418,-0.473929763,-0.512046933,-0.583878577,-0.614950418,-0.726860642,-0.721775413
BGR,0.46049872,0.528531313,0.545892,0.569690168,0.59489274,0.577117205,0.690935373,0.577976346,0.560484111,0.531485736,0.450080156,0.400915593,0.337270766,0.366463035,0.43257302,0.402185678,0.379908949,0.324619412,0.38491869
BHR,-1.056879878,-0.571163654,-0.590705574,-0.561549425,-0.743174851,-0.903966546,-0.856526554,-0.868917465,-0.791000724,-0.965910077,-1.217316866,-1.318024635,-1.317464471,-1.311062574,-1.313066244,-1.372085452,-1.386647701,-1.405622602,-1.412584305
BHS,1.202225447,1.18893683,1.032271743,0.984539509,0.942519128,1.020233631,1.098432422,1.121914268,1.007146001,0.988209665,0.960108459,0.934573889,0.924448729,1.047353506,0.951474488,0.852155507,0.84867382,0.795762599,0.934263945
BIH,-0.10834337,-0.087044545,0.209610566,0.168824628,0.213584766,0.187260151,0.131010443,0.01515203,0.003142807,-0.082464479,-0.159754992,-0.100325383,-0.116462924,-0.070975274,-0.098100983,-0.131202176,-0.205969095,-0.242181703,-0.199286312
BLR,-1.312422276,-1.451897144,-1.458550334,-1.597364068,-1.766817331,-1.753809452,-1.704454184,-1.593317866,-1.547588706,-1.555038214,-1.660208344,-1.567181349,-1.544428706,-1.442871571,-1.465078473,-1.339444995,-1.355395555,-1.350488424,-1.402501941
