ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
SLB,1450,1330,1260,1340,1430,1500,1630,1610,1570,1260,1340,1490,1880,2030,2080,2170,2150,2230,2320,2350
SLE,670,620,770,820,860,890,930,1070,1150,1180,1150,1190,1450,1740,1750,1570,1420,1590,1580,1670
SLV,4350,4460,4550,4650,4790,5050,5440,5670,5930,5770,5950,6270,6280,6570,6900,7240,7620,7980,8320,8700
SMR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRB,6020,6490,7200,7590,8410,9070,10070,11010,12300,12350,12530,13450,13480,14060,14100,14230,14870,15450,16670,17960
SSD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1630,1460,1980,1280,NA,NA,NA,NA,NA
STP,NA,1770,1810,1950,2030,2200,2520,2620,2720,2730,2890,3010,2900,3350,3880,3830,3900,3900,4060,4090
SUR,7340,7240,8020,8590,9430,10220,10980,11950,12630,12900,13220,13620,15180,16390,17030,16030,13450,14340,15100,15200
SVK,11340,12400,13280,13480,14630,16220,18370,20610,23320,22980,24650,25150,26480,27760,28670,29200,28880,30270,32050,33680
SVN,17960,18940,20060,20860,22420,23630,25370,26910,28830,27110,27480,28540,28590,29570,30590,30660,33010,35990,38140,40070
SWE,29480,29790,30840,32120,33800,34500,38410,41810,43430,41130,43360,45420,46340,47180,48040,49370,50720,53590,54740,57300
SWZ,4810,5160,5110,5280,5710,6560,6770,7270,7320,7300,7380,8010,8230,8790,8820,8930,8290,8000,8070,7940
SXM,NA,NA,NA,NA,NA,NA,NA,NA,NA,31440,32950,35840,31810,31760,31580,30970,31260,31340,NA,NA
SYC,13540,13840,12820,12930,13940,15590,17200,17880,17210,17380,18350,19500,20350,21200,22430,22610,23720,25220,27310,29300
SYR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21620,22900,24330,25040,26210,NA
TCD,760,830,870,840,1120,1310,1300,1370,1350,1570,1760,1750,1690,1500,1600,1760,1630,1570,1590,1620
TGO,950,960,990,1050,1040,990,1020,1010,1050,1090,1140,1280,1230,1280,1340,1440,1470,1520,1590,1670
THA,7160,7430,7890,8500,9190,9800,10610,11470,11800,11760,12640,13190,14190,14420,14680,15010,15840,16640,17620,18520
TJK,1000,1100,1240,1360,1540,1960,2250,2540,2780,2640,2880,3180,3510,3980,4090,3570,3620,3610,3850,4100
TKM,4120,4420,4450,4680,4980,5420,6190,7210,8100,8460,8990,10200,10920,11630,12280,12890,13500,13620,14560,NA
TLS,1780,1960,2220,1790,2060,2530,3840,5400,8350,6270,7410,9080,8700,7390,6270,5110,4240,4490,4520,4730
TON,3650,3840,4110,4210,4300,4410,4550,4470,4650,4810,5050,5300,5500,5450,5610,5910,6130,6420,6510,NA
TTO,13430,14490,15950,18360,20910,22320,25850,27890,29280,27810,29040,27460,27390,28330,27850,27250,25770,26500,26140,26950
TUN,5710,6030,6160,6540,7060,7390,7980,8580,8980,9330,9680,9590,9790,9780,10070,9890,10060,10270,10640,10800
TUR,9450,8990,9150,9430,10710,11760,13470,14710,15890,15320,17290,19480,20460,22070,23760,25340,26050,27570,27700,27410
TUV,NA,4730,5830,4050,4460,4400,4410,5150,5120,5250,4680,4740,4050,5020,4420,5680,5660,5580,6090,6170
TZA,1180,1230,1320,1390,1490,1600,1730,1830,1920,1980,2050,2190,2070,2160,2210,2300,2420,2470,2570,2700
UGA,1120,1160,1250,1310,1390,1470,1630,1770,1900,1980,2050,2220,1960,1960,2030,2080,2040,2030,2110,2210
UKR,3980,4550,4930,5560,6460,6900,7650,8600,8980,7660,8120,8700,9190,10510,10620,10210,11320,12140,12950,13750
URY,10230,10030,9480,9290,10000,11250,12130,13250,14320,14960,16190,17390,16880,18110,18820,19310,19650,20060,20570,21120
USA,36800,37700,38430,39740,42060,44570,47160,48280,48290,46940,48900,50820,53120,54360,56730,58340,58970,61020,63780,65880
UZB,2450,2570,2690,2840,3120,3410,3710,4310,4790,4970,5140,5510,5730,5970,6250,6450,6530,6650,7120,7400
VCT,5920,6210,6700,7250,7680,8130,9130,9800,10150,10170,9960,10110,10400,10850,10850,11360,12370,12160,12630,12880
VEN,11610,11980,10750,9960,11830,13450,15140,16930,17760,16900,16530,17080,NA,NA,NA,NA,NA,NA,NA,NA
VGB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VNM,2120,2280,2430,2620,2880,2910,3160,3420,3650,3450,4050,4330,4840,5130,5470,5790,6300,6620,7220,7750
VUT,2140,2130,1950,2010,2080,2170,2420,2540,2840,2790,2790,2820,2750,2940,3020,2960,3000,3080,3230,3310
WSM,NA,NA,3720,3920,4210,4460,4680,5100,5210,5040,5200,5440,5290,5310,5350,5710,6190,6290,6240,6490
YEM,2720,2840,2890,2930,3010,3190,3410,3520,3590,3750,3920,3350,3340,3520,NA,NA,NA,NA,NA,NA
ZAF,7540,7740,8110,8380,8960,9600,10320,10870,11300,11150,11470,11860,11730,12120,12190,12240,12240,12320,12520,12630
ZMB,1570,1660,1720,1840,1900,2020,2150,2280,2530,2850,2970,3160,3360,3430,3470,3360,3300,3330,3550,3580
ZWE,2190,2270,2110,1780,1710,1650,1620,1580,1290,1330,1610,1800,2070,2310,2360,2410,2560,2760,2990,2730
