Country Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017
EAR,12007.83056,10652.37065,9435.813129,8359.263945,7384.64193,6531.082828,5797.651965,5167.130387,4721.583615,4351.806071,4035.786099,3773.75399
EAS,9693.103232,8589.274066,7566.876986,6883.955118,6380.463035,5901.347037,5478.497825,5162.515532,4928.732344,4748.524313,4584.424036,4430.363754
ECA,NA,NA,NA,NA,NA,NA,13305.04073,13198.21634,13191.20311,12886.49361,12587.89274,12211.26108
ECS,NA,NA,NA,NA,NA,NA,8553.897235,8334.006533,8978.892471,8774.877557,7937.106626,7755.403084
ECU,91990.46659,79568.15928,68809.15523,59915.6549,52607.82106,46459.06131,41283.55654,37016.40729,33659.31282,30944.51992,28589.70981,26356.30725
EGY,35.57167126,31.19491563,27.69878239,24.79569033,21.95905756,19.23384073,17.04541232,15.41015618,13.98894012,12.78247284,11.57109559,10.36886297
EMU,3614.716157,3464.448559,3360.18035,3278.148576,3218.706212,3188.350037,3225.798253,3165.092718,3112.717146,3032.993157,3001.287792,2956.798112
ERI,NA,NA,NA,NA,NA,NA,NA,1275.514852,1128.550349,934.4110207,861.5108932,820.4180968
ESP,3584.395065,3402.38596,3213.457776,3045.604254,2927.393378,2874.512906,2839.800157,2776.017179,2683.944446,2458.719003,2377.43718,2386.612512
EST,NA,NA,NA,NA,NA,NA,8290.440685,9081.587813,9214.485084,9480.263747,9609.161894,9647.908279
ETH,NA,NA,NA,NA,NA,NA,NA,2009.969349,1739.326558,1512.252786,1315.6904,1146.617339
EUU,3654.582351,3502.21718,3392.297942,3298.075498,3230.743005,3191.321033,3274.884164,3180.396473,3155.714714,3101.114035,3080.546027,3047.472246
FCS,27145.87069,24140.6547,21357.14959,18705.78243,16420.45048,14645.77329,12464.01731,9813.757306,8691.652893,7663.574111,6405.459438,5723.010413
FIN,23823.07869,23231.86004,23062.04963,22579.07,22167.28511,21694.51167,21221.77108,20817.7889,20574.557,20231.73849,19763.68178,19425.5343
FJI,67706.49295,58507.33545,52593.47546,47718.61561,42721.54977,39555.20826,38349.4298,36014.51177,35019.63185,34143.1621,33003.30033,32537.09571
FRA,4174.940093,3938.885203,3788.3702,3671.900355,3589.443733,3490.240467,3398.400468,3335.287756,3235.970217,3124.207867,3046.003146,2988.731585
FRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FSM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAB,320760.4369,296000.0289,268103.0889,242508.8427,214678.7934,187670.7203,163579.1109,143691.7566,127298.5539,111370.296,93731.58589,79426.11724
GBR,2723.004695,2639.069883,2585.312412,2580.369983,2574.864587,2552.72477,2518.217917,2486.412442,2442.291227,2364.549513,2276.287451,2195.012178
GEO,NA,NA,NA,NA,NA,NA,11927.77265,13363.48566,14610.97922,15058.96909,15589.1564,15592.79443
GHA,4284.522861,3725.652767,3282.901608,2914.735895,2594.882788,2235.828885,1935.688506,1691.888934,1496.564126,1319.459643,1165.543578,1040.469669
GIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GIN,62579.12383,57345.18196,52673.97328,48823.89502,44513.83701,38956.6311,33650.82239,29495.94176,26321.68335,23744.08749,21216.60919,18727.96357
GMB,7897.105974,7031.986161,6092.310692,5201.515375,4424.054469,3610.060517,2919.776228,2498.912973,2136.351951,1829.440082,1574.786616,1355.074755
GNB,25442.17709,23907.60904,21842.52631,20732.58592,19743.2879,17529.34796,15680.84771,14127.97294,12754.55298,11335.09736,9968.965365,8752.036216
GNQ,99153.76079,89106.3999,89807.53554,107367.0301,91344.0932,67889.19439,58130.56572,48465.95919,39490.39168,31642.2575,25213.56373,20602.0881
GRC,6865.340954,6678.882112,6525.191514,6230.878321,5924.707388,5799.654921,5577.426654,5440.258041,5320.114012,5249.59422,5251.239677,5393.001502
GRD,2162.606373,2104.997264,2128.021791,2216.827941,2147.489585,2011.566507,2058.439086,1969.143521,1929.831333,1901.447953,1861.296207,1803.849415
GRL,NA,NA,NA,NA,NA,NA,NA,NA,10652016.46,10662187.25,NA,NA
GTM,24939.45559,21634.75112,19078.3714,17028.79629,15035.81747,13105.39546,11441.67757,10122.01852,8989.490693,8102.683257,7387.391995,6787.913387
GUM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUY,397502.1689,356582.1966,333818.5938,316097.0798,308480.3949,318172.3966,321935.9975,317952.4391,323581.5781,322849.8668,319041.3403,310880.2943
HIC,13409.22019,12672.9383,12049.79773,11533.8358,11085.61107,10719.03421,10276.16657,9778.725937,10050.02303,9693.397807,8838.640992,8587.492254
HKG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HND,42056.95921,36462.09125,31456.208,27039.88428,23182.89427,19959.4119,17286.09789,14995.7722,13083.63496,11610.3948,10492.21521,9615.001184
HPC,28585.44445,25275.83792,22233.13893,19431.08144,17024.09284,15016.12643,13051.28439,9892.059495,8607.491634,7467.801993,6139.165908,5339.227157
HRV,NA,NA,NA,NA,NA,NA,8238.96405,8313.266827,8763.011445,8746.659391,8834.092003,9140.433179
HTI,3236.985936,2939.90172,2689.497976,2457.208962,2201.270578,1965.630327,1777.446,1620.028887,1486.152622,1370.146354,1269.154131,1184.626229
HUN,596.3186862,587.2792955,577.0069094,563.4844602,560.4577445,565.358186,578.6288637,583.0628408,590.6321024,596.6717649,604.8166387,612.997634
IBD,12688.26017,11249.19783,9944.926237,8940.062436,8113.416647,7362.178123,7532.696097,7024.513665,6618.020137,6270.756101,5967.131935,5688.961265
IBT,13700.69994,12137.12196,10725.42927,9606.138254,8657.956606,7802.974211,7687.765728,7021.742942,6531.04699,6102.578842,5682.180132,5332.508867
IDA,18814.27644,16600.24586,14638.77089,12873.02264,11223.84493,9801.98745,8383.693679,7010.774376,6207.469205,5515.41408,4780.070941,4274.141471
IDB,14020.12417,12402.57684,10891.24865,9430.794376,8079.161794,6944.189534,5645.820184,4961.629767,4394.997746,3911.348104,3468.623253,3090.429693
IDN,21822.69245,19071.35517,16683.56287,14707.37599,13070.64847,11758.69303,10754.24684,9954.323313,9288.832022,8688.570681,8126.327517,7628.915955
IDX,21246.37909,18721.39654,16544.48035,14664.89636,12905.43549,11368.14968,9983.951939,8091.446587,7162.701334,6359.288588,5441.96703,4874.794201
IMN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,3082.648288,2778.628741,2488.438677,2216.401856,1974.763727,1764.098556,1590.221973,1444.69973,1322.580507,1222.099751,1142.378393,1080.171123
INX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRL,17277.55152,16882.2891,16135.14003,14929.01103,14057.03138,13841.58504,13770.11772,13336.34172,12462.01945,11139.04207,10653.25545,10192.64515
IRN,5569.688309,4882.63142,4272.609795,3692.206092,3069.079535,2510.070461,2186.103743,2035.278939,1909.792376,1801.32251,1701.088197,1592.832615
