Country Code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
DNK,1.806679964,1.88914001,2.006180048,2.127640009,NA,2.324660063,2.441450119,2.510849953,2.420419931,2.392529964,2.402359962,2.514810085,2.779510021,3.069279909,2.936969995,2.966259956,3.026319981,3.084939957,3.084929943
DOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DZA,NA,NA,NA,NA,NA,0.230279997,0.366400003,0.196229994,0.163570002,0.066040002,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAP,0.46336372,0.567802904,0.632310821,0.695865468,0.732810142,0.80266518,0.913678707,1.010350151,1.11261841,1.186260104,1.257612902,1.254742127,1.424038654,1.41153537,1.697762812,1.633400688,1.896104035,1.799787388,1.963799274
EAR,NA,NA,NA,NA,0.61146738,0.629875075,0.651003346,0.619433447,0.630435193,0.63721847,0.658322124,0.67419672,0.71227748,0.638935061,NA,NA,NA,NA,NA
EAS,2.265306083,2.33550421,2.314325363,2.386971628,2.324257791,2.376143033,2.332581764,2.423141429,2.404190335,2.502586269,2.490722933,2.436489125,2.484442315,2.325910731,2.472344544,2.408916484,2.565602812,2.410344188,2.592728069
ECA,0.791480697,0.836117007,0.655355609,0.678593385,0.713824306,0.830355935,0.85692732,0.848588499,0.804396387,0.8064323,0.806522005,0.864724569,0.833509448,0.954346752,0.905964422,0.898698905,0.93840274,0.931853004,1.007033703
ECS,1.671248089,1.653566539,1.62365221,1.716138056,1.69359438,1.737547843,1.710142559,1.733104328,1.709471038,1.663035186,1.669692796,1.67020756,1.734451728,1.824420451,1.787854894,1.80260492,1.857539204,1.831578875,1.879642315
ECU,0.07406,0.062629998,0.065169998,NA,NA,0.0515,0.055339999,0.057349999,NA,NA,0.128629997,0.131940007,0.227789998,0.394630015,0.402969986,0.339910001,NA,NA,NA
EGY,0.212599993,0.197559997,0.199100003,0.186509997,0.192469999,NA,NA,NA,0.269939989,0.241410002,0.259030014,0.255100012,0.270240009,0.433120012,0.433450013,0.531539977,0.54102999,0.677980006,0.678680003
EMU,1.736337769,1.709716444,1.739336775,1.76191289,1.802763066,1.792368327,1.833490105,1.801375282,1.779827715,1.775812096,1.798581661,1.805157508,1.888308205,1.985282199,1.993139375,2.041058126,2.100475714,2.107143512,2.121318603
