Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25693.77016,NA,NA,NA
CYM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46721.74585,NA,NA,NA
CYP,25138.64206,24693.88914,26272.6382,25856.59956,26789.90745,27274.36779,27238.62761,27380.14971,31254.03106,29694.20151,30196.36456,31513.90291,33039.74068,33850.55309,34489.33817,35842.55937,36789.59672,37492.33542,39841.30707,38529.50225,37850.04975,38566.21255,35490.5045,33079.45137,32340.96162,34262.77517,35061.37878,36808.58968,38052.21389,38627.55277,36067.55696
CZE,NA,NA,20979.81107,20928.76775,21533.0343,NA,NA,NA,NA,NA,NA,NA,NA,NA,27146.66659,28955.75209,30337.11954,31756.58621,32480.67588,30501.30523,30989.17931,31301.19798,31561.41049,31545.24187,32021.62793,33678.65317,34495.43398,36626.68558,37675.52976,38195.12587,NA
DEU,37237.8287,38649.78609,39036.01438,38336.03424,38857.66119,39251.82435,39513.85112,40080.62458,40724.14704,41415.28306,42622.59196,43205.82925,42890.90131,42584.29418,43802.94773,44244.12317,46374.63094,47708.1164,48016.74352,45990.95319,47863.24236,50934.48165,50971.63828,51017.53857,51775.80843,52245.21044,53092.96138,54209.17908,54907.47856,55096.66595,52382.81921
DJI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4118.56871,4426.675645,4730.509798,4981.83731,5103.055824,5375.675445,NA,NA
DMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11343.52983,NA,NA,NA
DNK,37930.23837,38299.43054,39007.06848,39072.20133,41068.65151,42277.20618,43189.09821,44478.32458,45472.65911,46826.20887,47842.31045,48441.93979,48619.96452,48841.73281,50509.88887,51891.16222,53953.00265,53832.94619,53564.02034,50606.3016,51653.70093,52360.19737,52360.49952,53098.62772,53941.2501,54520.04011,55515.41694,56568.41589,57829.01015,59369.77048,57599.24463
