Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BRB,NA,NA,NA,NA,1.47022205,1.188463364,1.291661067,0.853448121,0.818178908,1.643673389,1.245153678,0.814389684,0.43381519,0.524939673,0.927541602,0.853209441,0.344460014,0.349250758,0.22735901,0.265424388,0.406825332,0.235023138,0.301247726,0.26970207,0.215419464,0.249567454,0.240803255,0.18086973,0.145534548,0.27446787,0.392876464,0.247193786,0.206630361,0.230273459,0.279764568,0.372366562,0.436737154,0.370571692,0.48957215,0.268697663,0.374827428,0.549823583,0.540248198,0.50416739,0.450744868,0.184925552,0.137143974,0.211111582,0.31038954,0.270213691
BRN,2.83445547,7.335745892,16.50625554,27.86529698,56.67011509,58.38353504,61.29502094,58.33121131,54.34583993,NA,57.44255334,35.6758488,21.59069127,30.88827931,31.21515832,32.22001002,29.89794644,28.10237797,21.90131073,26.4827408,34.7026768,20.5626476,19.38693051,20.08799762,19.47661693,18.51966025,20.81941468,18.91457668,12.75871665,19.44888314,30.23445511,24.81430281,20.92516981,23.43076871,28.07132124,34.0405583,35.27313876,27.48601824,28.92093534,23.11556538,23.45035974,29.6620696,26.64196791,22.46210788,22.02380194,19.41882555,15.11846515,17.52815663,25.37993824,22.21259298
BTN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6695094,11.12631519,16.40951749,10.09349381,8.172370997,5.605451768,8.045733385,5.899147583,5.517182609,5.530408393,6.008754522,7.278981906,7.605423234,6.260557818,5.125332147,5.869388574,5.593858491,4.11862038,4.038555814,4.081320029,3.99150496,3.857488726,3.571704196,3.337047115,2.96462009,2.641792756,3.393360957,4.302106956,4.202368544,3.535869455,5.305079262,4.922551785,4.222047525,3.426397378,3.418838606,4.028295413,4.448622576,3.359670109,1.998535908,2.195491258
BWA,3.153987157,2.114909259,1.861189084,2.419361872,4.626720517,4.185063938,7.453550085,6.108891991,2.733034841,4.053819349,4.160965505,3.142472287,3.494736175,2.303244181,1.64485338,1.88553882,1.485040108,1.142429724,7.250764809,5.569791773,2.049023856,3.07097927,1.971537955,1.148281953,1.62952199,2.322029887,1.250150454,1.384222507,0.854492836,1.360999993,2.37947828,1.165088579,0.914960925,1.932964853,3.225792454,2.343945358,6.304856416,7.161354657,3.890166714,2.220855513,2.079115057,1.860334602,2.173313807,1.347993342,0.875593362,0.740622265,0.721377064,0.800948896,0.756371425,0.657050779
CAF,8.234246307,8.066811155,9.009108752,12.1458882,11.37106037,10.46012264,8.597198398,11.35295028,10.55839326,9.386261384,10.09204506,9.872660535,11.34467083,9.2074119,9.018277991,5.482919757,5.984440058,5.428552925,5.530499682,6.129002636,6.365328356,6.159797484,6.904069136,6.516582511,11.76899808,12.3457444,11.98089577,13.19276292,13.54099396,9.617501721,11.20517669,10.87848982,11.41729513,11.7273669,8.183494535,8.579298442,10.02769679,9.94663285,11.76283803,8.794977632,7.908126518,8.442391237,9.16089389,12.89708444,11.294765,12.66145709,13.02719792,13.82420515,10.83018287,8.349470145
CAN,2.213059611,1.907108263,1.900603694,3.138543907,5.841458767,4.653992791,4.197842474,4.459981061,4.097857048,8.425327305,8.99902565,5.771522732,3.320295214,4.372157436,4.502853079,4.197742494,1.979313872,2.808570576,2.823362479,2.797493396,2.892106043,2.215512475,2.429238206,2.644716701,2.450499225,2.453316402,3.101572492,2.432431395,1.483838521,2.163901742,3.927092086,3.260729061,2.365924018,2.942385203,4.069318158,4.411673816,3.855634626,3.657038005,5.00726984,2.02493532,2.250735833,2.967690634,1.803765549,1.911514651,1.660843713,0.334893277,0.785263944,1.270056559,2.121613074,1.895037949
CEB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.838577372,1.95906616,2.044342788,1.499467793,1.297548048,1.672601162,0.829577973,2.76231991,3.474777815,3.540819666,2.804278315,1.987194721,1.630153435,1.334034129,1.021906047,1.00747076,0.948499919,0.869930294,0.506705909,0.578169691,0.922967478,1.009379019,0.747796456,0.718455569,1.102455521,0.963041202,1.194715943,1.040325097,1.518431919,0.921221864,1.241127845,1.52788311,1.215191855,0.905600883,0.749639726,0.601665207,0.533827089,0.663779722,0.679407701,0.590127279
CHE,0.073153245,0.057901894,0.053802331,0.060880485,0.068799456,0.059798902,0.054320217,0.058616801,0.051927135,0.051095944,0.06013872,0.054456204,0.047154999,0.038907687,0.043673816,0.041034341,0.038358263,0.030794776,0.029277435,0.033979845,0.039774436,0.021689373,0.021312085,0.021154539,0.020135647,0.019921465,0.018967636,0.020065727,0.018107719,0.017479646,0.03483114,0.020599105,0.017944881,0.018426759,0.014120947,0.014620246,0.017215131,0.018973475,0.016503195,0.015094352,0.015437351,0.01290298,0.011496875,0.012331603,0.013472235,0.010788837,0.01120066,0.009808545,0.012821213,0.009367996
CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHL,10.16573462,6.630938428,5.820103548,7.38102322,11.15802625,13.25213806,12.88334255,8.815869986,7.563634094,9.475100042,8.783208787,5.630318548,6.702547107,9.209115261,8.109634645,9.056943222,7.073992465,8.592948602,11.8574852,12.81948882,11.16295105,5.944274345,4.627581872,3.359775814,4.882374195,6.552493846,4.99588242,4.656690529,2.533808906,3.68192878,4.870912772,3.942273678,3.741031468,5.092182773,9.557357524,9.746467358,17.23969,17.04142723,13.82028736,8.734582742,11.92204912,12.11225463,9.067324892,7.612232502,6.850289514,4.02835584,3.192543418,5.324970373,5.79353858,2.300109992
CHN,0.837845031,0.816099875,0.966467956,1.842468418,4.858253885,7.178830596,8.992150254,9.398052119,10.91405174,16.5273405,19.22440218,19.19179892,16.48589342,12.33744913,10.10025113,9.500473527,5.551765698,6.153548043,6.097593903,6.813154951,8.258298994,5.823481997,5.110135827,4.241628283,3.22160643,3.200209643,2.983032064,2.389022419,1.744109345,1.813186462,2.594914385,2.483242715,1.873675131,1.953392947,4.661952315,5.040991497,5.504678377,6.376429083,9.70533288,3.986165213,6.299079306,7.677050698,4.15320528,3.025345083,2.3143879,1.182763884,1.047272542,1.332432187,1.467764879,1.255054677
CIV,5.882119608,5.648935825,6.249129835,7.463187892,6.977363725,5.739879044,5.841877201,5.292520997,4.334079925,4.789501553,4.885570586,4.440031471,5.361166363,5.720370624,5.911269479,5.135007209,3.587329391,3.422431303,2.867491415,2.93540797,4.100201592,3.502477221,3.300474554,3.172748727,5.274282007,5.180846518,4.608979647,4.413777104,3.861161323,3.47281617,4.613809181,3.597927746,3.388684336,3.548648457,3.653332889,5.376601151,8.148475836,7.631054872,9.749091851,6.281611213,6.786996815,9.404657349,8.951594603,7.28182061,6.323616181,3.29367335,3.414167002,3.615023601,3.424314513,2.482895446
CMR,3.876029495,3.458218881,3.562986965,4.502066303,4.271211503,4.305887774,4.042825032,5.547737142,5.547545375,8.557148855,10.3834577,6.988075571,6.013212753,7.712087092,10.69750352,12.81747224,4.976437969,7.303928715,5.824054815,10.11133613,13.10435184,7.23499257,8.185577855,5.277071384,6.901233723,9.843939772,9.984684454,8.700522014,5.320426329,5.281415971,8.355999878,5.483286959,5.094437762,5.184646447,5.304911676,8.326126538,9.727066713,9.831306432,11.15049142,6.409296386,7.500685495,8.78728135,9.047666298,7.816706995,7.8592266,6.104342717,5.663604618,6.705005964,6.751807078,5.534439006
COD,11.50468532,7.723277262,7.433925623,11.99605039,11.65839169,6.725683623,7.822894557,7.819070739,6.520889018,8.309731019,10.70934703,9.645694747,9.615026666,10.5467524,13.66141919,13.27235483,12.74670508,16.63338088,19.4059878,20.43687498,20.0484799,13.33143074,15.94103318,10.72558373,23.4945665,36.31854269,36.4980064,32.19913256,32.0155072,28.21596255,7.546601872,18.13429777,18.58111358,29.10821938,23.66593181,23.08570995,23.66749045,25.60744406,28.26276816,28.31244378,25.92961769,28.57233016,26.85124766,25.47399868,24.60985091,20.1170171,20.58803642,24.79996132,18.17955909,10.81324537
COG,6.633271796,5.89674974,5.561307161,6.843321498,27.58829097,16.62689258,19.69084175,19.10949019,22.16561871,40.49871014,31.42173337,17.16826156,9.219286236,18.04736697,27.38879617,27.0192997,13.50425939,23.3019965,22.86804725,36.74820827,42.443886,24.55917753,27.18983575,41.68786234,37.7083155,36.99527053,41.3490171,44.0200278,26.50215101,40.12032487,57.99638372,44.14973841,41.21661494,35.39160372,43.84011897,52.10988877,58.65015904,49.57432712,56.93130494,38.01115173,47.00155316,56.03897281,45.59799373,36.25964884,32.13647046,17.34214591,17.83826133,33.26296598,47.9515215,47.86867769
COL,1.205192591,1.448380182,1.47597707,1.931996799,5.0122779,4.881273149,4.212296025,2.989314255,2.616644998,4.50217885,5.066927631,4.155531839,2.997710609,3.614129814,3.667073183,4.099490997,3.21143862,5.341047346,4.133314796,5.964288161,7.00471488,4.326872544,3.769692822,3.15350599,2.432536505,2.990661926,3.768346536,3.081955177,2.057535677,4.330857896,5.758129159,3.772301089,3.892696796,4.793051097,6.069411141,6.388416725,7.228097874,6.565207095,8.506604151,4.686529325,6.575453326,9.432766168,8.017971196,7.332431344,6.364404135,3.678660325,2.970495276,3.847870649,5.019994328,4.51731246
COM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.814546844,0.811701996,1.288461703,0.793048315,0.769874523,0.516529286,0.619038525,0.505536403,0.546126078,0.599385261,0.733042704,0.752536474,0.732272833,0.633194862,1.091606346,1.689939328,1.725396132,1.760660865,1.832497564,1.271047552,1.403005176,1.273430224,1.375146732,1.655367519,1.232593207,1.286908403,1.266092441,1.582735114,1.716053742,1.749778399,1.593404987,1.63839448,1.906230295,1.808800093,1.976247919,2.465839676,2.514069815,2.380138404,1.463851416,1.234932623
CPV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05674915,0.961535733,1.397348355,0.88087761,0.857443127,0.57379176,0.695834672,0.545163434,0.546833275,0.555401604,0.59928651,0.600153243,0.56661599,0.335031602,0.515889408,0.691968151,0.699582407,0.695863673,0.706620847,0.367855417,0.414438589,0.485954339,0.531104105,0.70901715,0.573021993,0.537280558,0.449184342,0.506133366,0.482749306,0.536358067,0.4709535,0.475255783,0.590399303,0.572546566,0.642651488,0.799397011,0.807028209,0.711996309,0.369149185,0.314361652
CRI,4.137395822,3.804109852,3.962865894,5.859096111,5.378934857,7.258517944,5.576467704,5.782967892,5.631274571,6.951849013,5.354525781,8.528559552,11.99470389,5.074209031,2.937962512,2.443259284,2.515005025,3.259083458,3.051040976,2.812383594,3.294598908,2.780738636,2.581656917,2.213174905,2.388316863,2.925809493,2.596205144,2.289953656,1.5275775,1.158693268,1.022151665,1.056254667,0.957279246,0.987090355,0.945345572,0.985765599,1.35321196,1.470845979,1.317363509,1.191545721,1.642811293,1.247207404,1.194530784,1.251901416,1.372697662,1.147252451,1.25248215,1.171145398,0.961352136,0.753766206
